iter	RMSE
0	4443.17137
1	4301.179432
2	4153.841607
3	4018.512392
4	3898.140469
5	3777.270732
6	3665.619925
7	3573.535468
8	3488.020396
9	3397.239363
10	3317.659323
11	3242.942392
12	3169.182822
13	3106.522127
14	3052.154597
15	2997.89329
16	2948.922573
17	2904.080201
18	2858.706864
19	2819.743778
20	2778.371101
21	2743.32414
22	2709.31796
23	2679.857937
24	2655.760894
25	2632.070182
26	2610.763937
27	2587.652347
28	2563.38722
29	2541.229649
30	2518.862712
31	2499.880542
32	2481.562717
33	2467.358677
34	2456.238699
35	2442.788957
36	2427.245326
37	2412.483192
38	2400.39915
39	2387.82413
40	2378.818409
41	2364.846638
42	2352.074917
43	2340.337502
44	2329.161563
45	2320.269725
46	2313.92954
47	2304.904328
48	2299.858022
49	2289.947716
50	2282.397732
51	2275.080283
52	2267.901981
53	2263.295926
54	2256.428072
55	2249.721231
56	2244.206435
57	2238.65835
58	2231.69063
59	2226.240252
60	2222.312176
61	2219.06208
62	2215.583046
63	2210.855542
64	2206.997332
65	2202.298867
66	2198.689898
67	2194.763672
68	2192.297168
69	2189.041413
70	2181.759836
71	2178.024232
72	2174.280302
73	2171.476502
74	2166.005062
75	2159.932739
76	2155.193589
77	2149.693962
78	2147.206101
79	2142.189321
80	2139.782594
81	2137.305316
82	2134.414933
83	2130.749575
84	2128.044053
85	2125.483172
86	2122.648757
87	2117.809986
88	2115.508024
89	2113.013775
90	2110.837896
91	2108.072488
92	2103.432918
93	2100.14994
94	2098.668497
95	2097.177042
96	2094.197758
97	2090.972127
98	2088.73021
99	2084.200147
100	2083.047547
101	2080.553408
102	2078.017126
103	2073.965703
104	2070.218107
105	2066.175306
106	2065.481415
107	2064.281981
108	2060.301891
109	2056.36186
110	2053.75139
111	2050.26329
112	2049.221135
113	2044.904511
114	2043.797639
115	2039.702717
116	2036.391609
117	2033.183374
118	2029.529797
119	2027.389008
120	2025.138775
121	2021.810577
122	2018.021599
123	2014.139378
124	2012.604335
125	2010.004529
126	2006.237124
127	2002.640427
128	1999.595636
129	1997.723229
130	1993.812475
131	1990.794604
132	1987.921233
133	1986.158034
134	1982.646285
135	1981.465908
136	1980.110992
137	1977.36598
138	1976.080106
139	1972.439804
140	1970.54637
141	1968.709301
142	1966.69239
143	1963.648562
144	1961.484908
145	1958.714396
146	1957.549454
147	1955.448047
148	1952.584162
149	1951.512091
150	1950.147482
151	1947.160447
152	1945.00613
153	1942.234856
154	1941.206686
155	1938.538082
156	1935.270638
157	1933.917415
158	1931.442409
159	1930.51246
160	1929.195392
161	1927.618899
162	1924.754879
163	1921.949484
164	1919.113332
165	1917.992079
166	1916.867688
167	1914.986683
168	1912.914791
169	1910.907888
170	1908.80605
171	1906.717324
172	1904.664996
173	1903.489913
174	1902.015784
175	1900.01897
176	1899.404503
177	1897.935252
178	1895.405529
179	1894.433072
180	1892.078843
181	1890.710848
182	1889.556246
183	1887.048288
184	1885.394228
185	1883.044957
186	1881.743414
187	1880.204352
188	1878.946221
189	1877.773419
190	1876.883934
191	1876.245471
192	1874.117383
193	1873.464398
194	1873.13316
195	1871.527817
196	1870.734265
197	1869.440785
198	1868.946825
199	1868.413669
200	1866.85089
201	1866.200234
202	1864.553959
203	1863.358717
204	1861.650175
205	1859.65093
206	1858.344307
207	1857.073477
208	1855.671774
209	1854.862912
210	1854.155335
211	1852.584224
212	1851.386227
213	1850.019615
214	1849.364335
215	1847.228308
216	1846.670603
217	1844.901115
218	1843.264448
219	1842.766194
220	1841.925085
221	1840.86772
222	1840.155596
223	1839.812947
224	1839.513601
225	1836.380351
226	1836.057801
227	1835.634171
228	1834.993083
229	1831.326878
230	1828.4808
231	1826.803502
232	1826.516919
233	1824.812059
234	1824.527775
235	1821.256779
236	1819.747021
237	1817.251796
238	1815.876885
239	1814.670254
240	1811.744814
241	1810.968727
242	1810.186891
243	1807.753084
244	1807.370737
245	1806.890902
246	1805.739626
