iter	Passed	Remaining
0	143	143180
1	145	72527
2	147	49014
3	149	37244
4	151	30184
5	153	25474
6	155	22105
7	157	19571
8	159	17586
9	161	16013
10	163	14710
11	165	13627
12	167	12720
13	169	11933
14	171	11245
15	173	10667
16	175	10150
17	177	9679
18	179	9253
19	180	8865
20	182	8523
21	184	8205
22	186	7915
23	188	7648
24	189	7404
25	191	7181
26	193	6981
27	195	6785
28	197	6607
29	199	6445
30	201	6286
31	202	6136
32	204	5994
33	206	5861
34	208	5736
35	209	5618
36	211	5506
37	213	5400
38	215	5300
39	216	5205
40	218	5114
41	220	5028
42	222	4950
43	224	4872
44	226	4799
45	227	4725
46	229	4655
47	231	4588
48	233	4524
49	234	4462
50	236	4403
51	238	4347
52	240	4293
53	242	4239
54	243	4189
55	245	4141
56	247	4094
57	249	4049
58	251	4004
59	252	3960
60	254	3922
61	256	3882
62	258	3844
63	260	3806
64	262	3770
65	264	3736
66	265	3701
67	267	3668
68	269	3636
69	271	3606
70	273	3576
71	275	3548
72	277	3519
73	278	3490
74	280	3462
75	282	3435
76	284	3408
77	286	3384
78	288	3359
79	289	3334
80	291	3311
81	293	3287
82	295	3264
83	297	3241
84	299	3219
85	300	3198
86	303	3180
87	304	3160
88	306	3139
89	308	3119
90	310	3100
91	312	3081
92	314	3064
93	316	3046
94	317	3028
95	319	3010
96	321	2992
97	323	2975
98	325	2960
99	327	2945
100	329	2928
101	330	2914
102	332	2898
103	334	2883
104	336	2870
105	338	2855
106	340	2840
107	342	2827
108	344	2813
109	346	2803
110	348	2790
111	350	2778
112	352	2767
113	354	2757
114	356	2746
115	359	2736
116	361	2726
117	363	2714
118	365	2703
119	367	2691
120	368	2679
121	370	2669
122	372	2658
123	374	2647
124	376	2635
125	378	2623
126	380	2612
127	381	2602
128	383	2591
129	385	2580
130	387	2569
131	389	2560
132	391	2551
133	393	2541
134	395	2531
135	396	2521
136	398	2511
137	400	2501
138	402	2491
139	404	2482
140	405	2472
141	407	2464
142	409	2455
143	411	2447
144	413	2438
145	415	2429
146	417	2420
147	419	2412
148	420	2403
149	422	2394
150	424	2385
151	426	2377
152	427	2369
153	429	2361
154	431	2353
155	433	2345
156	435	2338
157	437	2330
158	439	2323
159	441	2315
160	442	2307
161	444	2300
162	446	2293
163	448	2285
164	450	2278
165	452	2271
166	453	2264
167	455	2257
168	457	2251
169	459	2244
170	461	2237
171	463	2231
172	465	2224
173	467	2217
174	468	2210
175	470	2203
176	472	2196
177	474	2191
178	476	2184
179	478	2178
180	479	2171
181	481	2165
182	483	2158
183	485	2152
184	487	2145
185	489	2140
186	490	2133
187	492	2127
188	494	2121
189	496	2115
190	498	2109
191	499	2102
192	501	2097
193	503	2091
194	504	2084
195	506	2078
196	508	2072
197	510	2066
198	511	2060
199	513	2055
200	515	2049
201	517	2045
202	519	2040
203	521	2035
204	523	2029
205	525	2023
206	526	2018
207	528	2013
208	530	2008
209	532	2002
210	534	1997
211	535	1992
212	537	1987
213	539	1981
214	541	1976
215	543	1971
216	544	1966
217	546	1961
218	548	1957
219	550	1952
220	552	1948
221	554	1942
222	556	1937
223	557	1932
224	559	1927
225	561	1922
226	563	1917
227	564	1912
228	566	1907
229	568	1903
230	570	1898
231	572	1894
232	574	1889
233	576	1885
234	577	1881
235	579	1876
